id,type,from,to,days,dist,key,ID,homeport,No_trips
DOM75,DOM,AKLPINE,AKLWESTHAV,10,22.3073799447627,75,Y75,AKL_PINE,60
DOM75,DOM,AKLPINE,Poor Knight Is,3,159.613360656306,75,Y75,AKL_PINE,60
DOM75,DOM,AKLPINE,Great Barrier,15,77.8466200293886,75,Y75,AKL_PINE,60
DOM75,DOM,AKLPINE,AKLBWM,3,21.2847010784742,75,Y75,AKL_PINE,60
DOM75,DOM,AKLPINE,Gulf Harbour,2,35.9185363009129,75,Y75,AKL_PINE,60
DOM75,DOM,AKLPINE,AKLVIA,2,20.9871413012826,75,Y75,AKL_PINE,60
DOM75,DOM,AKLPINE,Little Barrier,1,79.6646800658862,75,Y75,AKL_PINE,60
DOM750,DOM,AKLWESTHAV,Great Barrier,30,87.9603970545836,750,Y750,Milford_M,14
DOM751,DOM,AKLWESTHAV,Great Barrier,3,87.9603970545836,751,Y751,AKL_WESTHAV,1
DOM753,DOM,AKLTamaki,Port Fitzroy,1,88.7350128190671,753,Y753,AKL_Tamaki,35
DOM753,DOM,AKLTamaki,Coromandel,1,56.0527316461919,753,Y753,AKL_Tamaki,35
DOM754,DOM,AKLWESTHAV,Tutukaka,1,136.339193557832,754,Y754,AKL_WESTHAV,2
DOM754,DOM,AKLWESTHAV,Opua,4,178.950919807639,754,Y754,AKL_WESTHAV,2
DOM756,DOM,Tauranga,Mayor Is,6,42.33760030989,756,Y756,Tauranga,7
DOM756,DOM,Tauranga,Slipper Is,3,70.8163258013292,756,Y756,Tauranga,7
DOM757,DOM,Whakatane,Mayor Is,5,100.686642609633,757,Y757,Tauranga,6
DOM757,DOM,Whakatane,Great Barrier,5,227.572320922383,757,Y757,Tauranga,6
DOM76,DOM,AKLWESTHAV,Bay of Islands,10,183.789278318949,76,NA,NA,NA
DOM76,DOM,AKLWESTHAV,Poor Knight Is,1,152.283664586849,76,NA,NA,NA
DOM76,DOM,AKLWESTHAV,Great Barrier,8,87.9603970545836,76,NA,NA,NA
DOM76,DOM,AKLWESTHAV,Waiheke Island,7,24.5345001986998,76,NA,NA,NA
DOM76,DOM,AKLWESTHAV,Whangamumu,2,180.739392496489,76,NA,NA,NA
DOM76,DOM,AKLWESTHAV,AKLWESTPARK,60,9.29800516239908,76,NA,NA,NA
DOM76,DOM,AKLWESTHAV,Picton,14,497.641086728176,76,NA,NA,NA
DOM760,DOM,AKLHMB,AKLWESTHAV,2,14.5848997254009,760,Y760,AKL_HMB,5
DOM760,DOM,AKLHMB,Tutukaka,2,143.437582941152,760,Y760,AKL_HMB,5
DOM760,DOM,AKLHMB,Mercury Islands,10,83.8201884989529,760,Y760,AKL_HMB,5
DOM760,DOM,AKLHMB,Kawau Is,4,50.9088371503416,760,Y760,AKL_HMB,5
DOM760,DOM,AKLHMB,Great Barrier,20,81.6589826657178,760,Y760,AKL_HMB,5
DOM760,DOM,AKLHMB,Mahurangi Harbour,3,46.0933878121363,760,Y760,AKL_HMB,5
DOM760,DOM,AKLHMB,Kerikeri,2,202.974659009444,760,Y760,AKL_HMB,5
DOM762,DOM,Wellington,Picton,8,65.1801350105997,762,Y762,Wellington,0
DOM764,DOM,AKLWESTHAV,Bay of Islands,14,183.789278318949,764,Y764,AKL_WESTHAV,1
DOM764,DOM,AKLWESTHAV,Cavalli Islands,1,215.80334960329,764,Y764,AKL_WESTHAV,1
DOM764,DOM,AKLWESTHAV,AKLPINE,7,22.3073799447627,764,Y764,AKL_WESTHAV,1
DOM765,DOM,AKLBBM,Motuihe Is,5,7.60345316287277,765,Y765,AKL_BBM,5
DOM766,DOM,AKLWESTPARK,Bay of Islands,10,178.264657531997,766,Y766,AKL_WESTPARK,15
DOM766,DOM,AKLWESTPARK,Goat Is (Motuorohi),1,68.1980932651346,766,Y766,AKL_WESTPARK,15
DOM767,DOM,AKLWESTHAV,Great Barrier,10,87.9603970545836,767,Y767,AKL_WESTHAV,10
DOM767,DOM,AKLWESTHAV,Gulf Harbour,2,27.2313872213665,767,Y767,AKL_WESTHAV,10
DOM768,DOM,Gulf Harbour,Great Barrier,5,67.8647552121129,768,Y768,Gulf HM,20
DOM77,DOM,Wellington,Nelson,1,126.755320992848,77,Y77,Wellington,8
DOM77,DOM,Wellington,Picton,8,65.1801350105997,77,Y77,Wellington,8
DOM771,DOM,Gulf Harbour,AKLVIA,7,27.5726649056634,771,Y771,Gulf HM,30
DOM772,DOM,Coromandel,Three Kings Is,6,420.295937554719,772,Y772,Coromandel Harbour,12
DOM772,DOM,Coromandel,Poor Knight Is,2,158.309776151064,772,Y772,Coromandel Harbour,12
DOM772,DOM,Coromandel,Chatham Islands,7,1039.56817233778,772,Y772,Coromandel Harbour,12
DOM772,DOM,Coromandel,Tutukaka,4,151.957226300693,772,Y772,Coromandel Harbour,12
DOM772,DOM,Coromandel,Stewart Island,5,1279.07518493832,772,Y772,Coromandel Harbour,12
DOM772,DOM,Coromandel,Great Barrier,7,49.5610192086482,772,Y772,Coromandel Harbour,12
DOM772,DOM,Coromandel,Whangarei,4,150.98744525622,772,Y772,Coromandel Harbour,12
DOM772,DOM,Coromandel,Tauranga,4,118.232400910241,772,Y772,Coromandel Harbour,12
DOM773,DOM,AKLBBM,AKLHMB,355,1.34495353079577,773,Y773,AKL_BBM,3
