id,type,from,to,days,dist,key
DOM277,DOM,AKLPINE,Kawau Is,6,53.2781381056058,277
DOM277,DOM,AKLPINE,Great Barrier,12,77.8466200293886,277
DOM277,DOM,AKLPINE,Mahurangi Harbour,3,50.2925292662837,277
DOM277,DOM,AKLPINE,Waiheke Island,15,10.3364645793424,277
DOM277,DOM,AKLPINE,Coromandel,10,46.3822608871107,277
DOM278,DOM,AKLTamaki,Great Barrier,3,84.0485053406662,278
DOM278,DOM,AKLTamaki,Opua,2,188.362816128874,278
DOM28,DOM,Nelson,Akaroa,85,283.146487749716,28
DOM28,DOM,Nelson,Picton,10,61.5845841099865,28
DOM280,DOM,Akaroa,Picton,180,292.268935443027,280
DOM281,DOM,AKLHOBS,AKLWESTHAV,21,5.17888984242762,281
DOM281,DOM,AKLHOBS,Tutukaka,4,139.219010914458,281
DOM281,DOM,AKLHOBS,Kawau Is,4,48.3990754043918,281
DOM281,DOM,AKLHOBS,Gulf Harbour,14,28.7991362717704,281
DOM281,DOM,AKLHOBS,Whangamumu,2,183.967475658063,281
DOM281,DOM,AKLHOBS,Opua,10,182.567524494363,281
DOM281,DOM,AKLHOBS,Kerikeri,2,197.178094625138,281
DOM282,DOM,AKLWESTHAV,Gisborne,7,353.346273788192,282
DOM282,DOM,AKLWESTHAV,Great Barrier,56,87.9603970545836,282
DOM282,DOM,AKLWESTHAV,Whangamata,4,107.152494721308,282
DOM283,DOM,Lyttelton,Picton,60,278.9369663562,283
DOM284,DOM,AKLWESTHAV,Great Barrier,10,87.9603970545836,284
DOM284,DOM,AKLWESTHAV,Tauranga,2,156.730126331857,284
DOM285,DOM,Gulf Harbour,Great Barrier,5,67.8647552121129,285
DOM286,DOM,AKLWESTHAV,Tutukaka,3,136.339193557832,286
DOM286,DOM,AKLWESTHAV,Opua,2,178.950919807639,286
DOM287,DOM,AKLPINE,Kawau Is,3,53.2781381056058,287
DOM287,DOM,AKLPINE,Great Barrier,4,77.8466200293886,287
