vessel_no,FreqUse,TripType,SourceWater,RiskyWater,MaxVol,EmptyDepart,EmptyArrival,FreqDischarge,vessel_type,name,home,location,sum_score,hazard_score,Length,Speed,storage,steam_fine,steam_rough,active_fine,active_rough,mean_rate,max_rate
53,2,2,1,1,2,2,1,3,Yacht,Dragonfly,Westhaven marina,Auckland,10,48,12.5,6,In water,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.08333333333333333,0.05208333333333333,0.08333333333333333
54,3,4,2,1,2,2,2,3,Yacht,Margarita,Westhaven marina,Auckland,16,576,13,7,In water,0,0.041666666666666664,0,0.041666666666666664,0.020833333333333332,0.041666666666666664
55,3,2,0,1,2,1,1,0,Yacht,Bootlegger,Nelson marina,Nelson/Picton,10,0,10.6,6,In water,0,0,0,0,0,0
56,3,3,3,1,1,2,1,3,Yacht,Farr'away,Nelson marina,Nelson/Picton,13,162,10.6,7,In water,0.125,0.125,0.125,0.125,0.125,0.125
57,4,4,2,1,2,2,2,3,Yacht,Annabelle,Hobart,Nelson/Picton,17,768,10,6,In water,0.041666666666666664,0.125,0,0.041666666666666664,0.05208333333333333,0.125
58,3,4,1,1,2,2,3,3,Yacht,Dutch,Nelson marina,Nelson/Picton,15,432,13,6,In water,0.041666666666666664,0.125,0,0,0.041666666666666664,0.125
59,2,3,1,1,2,3,1,3,Yacht,Cavalier,Waikawa marina,Nelson/Picton,12,108,12,7,In water,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.11458333333333334,0.16666666666666666
60,3,3,2,1,1,4,1,3,Yacht,Rascal,Waikawa marina,Nelson/Picton,14,216,10.6,6,In water,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.03125,0.041666666666666664
61,3,3,4,1,1,1,4,4,Commercial,Imogen 3,Picton boat ramp,Nelson/Picton,16,576,7,27,On land,0,0,0,0,0,0
62,2,2,4,1,4,1,4,3,Trailer boat,Mr T,Picton boat ramp,Nelson/Picton,16,768,7.1,26,On land,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333
63,3,2,0,1,1,1,4,4,Trailer boat,Nikau Bay,Picton boat ramp,Nelson/Picton,11,0,7,22,On land,0,0,0,0,0,0
64,2,1,4,1,2,1,4,3,Trailer boat,Fishy business,Picton boat ramp,Nelson/Picton,13,192,6,25,On land,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
65,2,1,0,1,2,1,4,4,Trailer boat,Sport fisherman,Picton boat ramp,Nelson/Picton,10,0,6,22,On land,0,0,0,0,0,0
66,2,2,1,1,2,1,3,3,Launch,Merlyn Ray,Picton marina,Nelson/Picton,11,72,12.8,23,In water,0.125,0.125,0.125,0.125,0.125,0.125
67,1,3,0,1,2,1,4,3,Yacht,Te Kuaka,Mana marina,Nelson/Picton,12,0,10,7.2,In water,0.125,0.125,0.125,0.125,0.125,0.125
68,2,2,4,1,3,1,2,3,Launch,Monarch,Picton marina,Nelson/Picton,13,288,12.8,25,In water,0,0,0.125,0.125,0.0625,0.125
69,2,1,4,1,1,1,1,1,Trailer boat,Reel Deal,Picton boat ramp,Nelson/Picton,9,8,8,25,On land,0.42857142857142855,0.5714285714285714,4.714285714285714,0.5714285714285714,1.5714285714285714,4.714285714285714
70,2,1,3,1,2,1,1,3,Trailer boat,Renegade,Picton boat ramp,Nelson/Picton,10,36,8,25,On land,0,0,0.125,0.25,0.09375,0.25
71,2,2,4,1,1,1,1,0,Trailer boat,Last Call,Picton boat ramp,Nelson/Picton,10,0,10,25,On land,0,0,0,0,0,0
72,2,1,3,1,2,1,1,3,Trailer boat,High Seas,Picton boat ramp,Nelson/Picton,10,36,7,20,On land,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.3333333333333333
73,4,3,2,1,2,2,2,3,Yacht,Blue Belle,Picton marina,Nelson/Picton,16,576,11,7,In water,0,0.125,0,0.125,0.0625,0.125
74,4,4,1,1,3,3,4,3,Yacht,Lolita,Picton marina,Nelson/Picton,20,1728,16,8,In water,0.041666666666666664,0.125,0.041666666666666664,0.125,0.08333333333333333,0.125
75,3,3,4,1,1,1,4,2,Commercial,HJ,Picton boat ramp,Nelson/Picton,16,288,7,25,On land,0,0,0.5,1,0.375,1
